Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
16,23.0166667,2.4822005,68.6666667,1.2545947,68.6666667
17,23.0166667,2.7269374,67.6666667,1.4761737,67.6666667
18,23.0166667,2.9269374,66.6666667,1.6577526,66.6666667
19,23.0166667,3.1790426,66.6666667,1.6672263,66.6666667
20,23.0166667,3.5169374,65.6666667,1.9209105,65.6666667
21,23.0166667,3.7448321,65.6666667,2.0688053,65.6666667
1,23.0333333,-1.5977169,80.6666667,-1.6889767,80.6666667
2,23.0333333,-1.3708748,79.6666667,-1.5504241,79.6666667
3,23.0333333,-0.981138,78.6666667,-1.3304241,78.6666667
4,23.0333333,-0.6691643,77.6666667,-1.107003,77.6666667
5,23.0333333,-0.431138,76.6666667,-0.7889767,76.6666667
6,23.0333333,-0.1260064,75.6666667,-0.5889767,75.6666667
7,23.0333333,0.1576778,74.6666667,-0.3889767,74.6666667
8,23.0333333,0.3442568,73.6666667,-0.1455556,73.6666667
9,23.0333333,0.7025462,73.6666667,-0.0587135,73.6666667
10,23.0333333,0.9193883,72.6666667,0.142997,72.6666667
11,23.0333333,1.1276778,71.6666667,0.342997,71.6666667
12,23.0333333,1.4362304,71.6666667,0.5747075,71.6666667
13,23.0333333,1.717941,70.6666667,0.7398391,70.6666667
14,23.0333333,1.9896515,69.6666667,0.8683917,69.6666667
15,23.0333333,2.2447831,68.6666667,1.0501023,68.6666667
16,23.0333333,2.4847831,68.6666667,1.2566812,68.6666667
17,23.0333333,2.7299147,67.6666667,1.4783917,67.6666667
18,23.0333333,2.9299147,66.6666667,1.6601023,66.6666667
19,23.0333333,3.181362,66.6666667,1.6703654,66.6666667
20,23.0333333,3.5199147,65.6666667,1.9235233,65.6666667
21,23.0333333,3.7484673,65.6666667,2.0720759,65.6666667
1,23.05,-1.5976344,80.6666667,-1.6888639,80.6666667
2,23.05,-1.3702659,79.6666667,-1.5496534,79.6666667
3,23.05,-0.9813186,78.6666667,-1.3296534,78.6666667
4,23.05,-0.6684238,77.6666667,-1.1059692,77.6666667
5,23.05,-0.4313186,76.6666667,-0.7888639,76.6666667
6,23.05,-0.1257923,75.6666667,-0.5888639,75.6666667
7,23.05,0.1589446,74.6666667,-0.3888639,74.6666667
8,23.05,0.3452604,73.6666667,-0.1451797,73.6666667
9,23.05,0.7034183,73.6666667,-0.0578113,73.6666667
10,23.05,0.9207867,72.6666667,0.1440308,72.6666667
11,23.05,1.1289446,71.6666667,0.3440308,71.6666667
12,23.05,1.4381551,71.6666667,0.5758729,71.6666667
13,23.05,1.7199972,70.6666667,0.7413992,70.6666667
14,23.05,1.9918393,69.6666667,0.8706098,69.6666667
15,23.05,2.2473656,68.6666667,1.0524519,68.6666667
16,23.05,2.4873656,68.6666667,1.2587677,68.6666667
17,23.05,2.732892,67.6666667,1.4806098,67.6666667
18,23.05,2.932892,66.6666667,1.6624519,66.6666667
19,23.05,3.1836814,66.6666667,1.6735045,66.6666667
20,23.05,3.522892,65.6666667,1.9261361,65.6666667
21,23.05,3.7521025,65.6666667,2.0753466,65.6666667
1,23.0666667,-1.5975518,80.6666667,-1.6887511,80.6666667
2,23.0666667,-1.3696571,79.6666667,-1.5488827,79.6666667
3,23.0666667,-0.9814992,78.6666667,-1.3288827,78.6666667
4,23.0666667,-0.6676834,77.6666667,-1.1049353,77.6666667
5,23.0666667,-0.4314992,76.6666667,-0.7887511,76.6666667
6,23.0666667,-0.1255781,75.6666667,-0.5887511,75.6666667
7,23.0666667,0.1602114,74.6666667,-0.3887511,74.6666667
8,23.0666667,0.346264,73.6666667,-0.1448038,73.6666667
9,23.0666667,0.7042903,73.6666667,-0.056909,73.6666667
10,23.0666667,0.922185,72.6666667,0.1450647,72.6666667
11,23.0666667,1.1302114,71.6666667,0.3450647,71.6666667
12,23.0666667,1.4400798,71.6666667,0.5770383,71.6666667
13,23.0666667,1.7220535,70.6666667,0.7429594,70.6666667
14,23.0666667,1.9940271,69.6666667,0.8728278,69.6666667
15,23.0666667,2.2499482,68.6666667,1.0548015,68.6666667
16,23.0666667,2.4899482,68.6666667,1.2608541,68.6666667
17,23.0666667,2.7358692,67.6666667,1.4828278,67.6666667
18,23.0666667,2.9358692,66.6666667,1.6648015,66.6666667
19,23.0666667,3.1860008,66.6666667,1.6766436,66.6666667
20,23.0666667,3.5258692,65.6666667,1.9287489,65.6666667
21,23.0666667,3.7557377,65.6666667,2.0786173,65.6666667
1,23.0833333,-1.5974692,80.6666667,-1.6886383,80.6666667
2,23.0833333,-1.3690482,79.6666667,-1.548112,79.6666667
3,23.0833333,-0.9816798,78.6666667,-1.328112,78.6666667
4,23.0833333,-0.6669429,77.6666667,-1.1039015,77.6666667
