Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_raw,EA_diff_B,Travel_time_y
4,34.9,-3.3502137,90.3333333,,-3.2245509,90.3333333
5,34.9,-3.0833716,90.3333333,,-2.9508667,90.3333333
6,34.9,-2.8433716,90.3333333,,-2.6708667,90.3333333
7,34.9,-2.6402137,90.3333333,,-2.3340246,90.3333333
8,34.9,-2.3570559,90.3333333,,-2.0608667,90.3333333
9,34.9,-2.1570559,89.3333333,,-1.7377088,89.3333333
10,34.9,-1.9802137,89.3333333,,-1.3945509,89.3333333
11,34.9,-1.7802137,88.3333333,,-1.101393,88.3333333
12,34.9,-1.6765295,87.3333333,,-0.861393,87.3333333
13,34.9,-1.4965295,85.3333333,,-0.641393,85.3333333
14,34.9,-1.1700104,84.3333333,18.5243735,-0.3982351,84.3333333
15,34.9,-1.1551165,83.3333333,18.9999516,-0.1782351,83.3333333
16,34.9,-0.8354514,82.3333333,19.0751952,0.058607,82.3333333
17,34.9,-0.3762698,82.3333333,19.5591906,0.2517649,82.3333333
18,34.9,-0.0261512,81.3333333,19.6394614,0.4617649,81.3333333
19,34.9,0.167402,80.3333333,20.0870206,0.6817649,80.3333333
20,34.9,0.2056897,80.3333333,20.0665923,0.8649228,80.3333333
21,34.9,0.13203,79.3333333,20.2691157,1.0617649,79.3333333
1,34.9166667,-4.2948383,91.3333333,,-4.0302632,91.3333333
2,34.9166667,-3.9914172,91.3333333,,-3.7536842,91.3333333
3,34.9166667,-3.6514172,90.3333333,,-3.4805263,90.3333333
4,34.9166667,-3.3479962,90.3333333,,-3.2239474,90.3333333
5,34.9166667,-3.0814172,90.3333333,,-2.9507895,90.3333333
6,34.9166667,-2.8414172,90.3333333,,-2.6707895,90.3333333
7,34.9166667,-2.6379962,90.3333333,,-2.3342105,90.3333333
8,34.9166667,-2.3545751,90.3333333,,-2.0607895,90.3333333
9,34.9166667,-2.1545751,89.3333333,,-1.7373684,89.3333333
10,34.9166667,-1.9779962,89.3333333,,-1.3939474,89.3333333
11,34.9166667,-1.7779962,88.3333333,,-1.1005263,88.3333333
12,34.9166667,-1.6748383,87.3333333,,-0.8605263,87.3333333
13,34.9166667,-1.4948383,85.3333333,,-0.6405263,85.3333333
14,34.9166667,-1.1677349,84.3333333,18.5330254,-0.3971053,84.3333333
15,34.9166667,-1.154481,83.3333333,19.0084685,-0.1771053,83.3333333
16,34.9166667,-0.8351347,82.3333333,19.0836634,0.0594737,82.3333333
