EA_raw,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
30.1872157,2,49.05,-13.3332792,89.9166667,-5.9775786,89.9166667
30.4352516,3,49.05,-12.7564569,88.9166667,-5.5960401,88.9166667
30.9323992,4,49.05,-12.6301922,88.9166667,-5.2460401,88.9166667
31.2484303,5,49.05,-12.2528595,87.9166667,-4.8860401,87.9166667
31.6250821,6,49.05,-11.8558229,86.9166667,-4.5360401,86.9166667
32.0436496,7,49.05,-11.4089362,86.9166667,-4.1960401,86.9166667
32.4987633,8,49.05,-10.9638088,85.9166667,-3.8545016,85.9166667
32.6576869,9,49.05,-10.8461357,84.9166667,-3.5245016,84.9166667
33.1173811,10,49.05,-10.7203819,84.9166667,-3.2129632,84.9166667
,11,49.05,-9.7502722,83.9166667,-3.0445016,83.9166667
,12,49.05,-9.4502722,82.9166667,-2.7445016,82.9166667
,13,49.05,-9.1487338,80.9166667,-2.4329632,80.9166667
,14,49.05,-8.8287338,79.9166667,-2.1529632,79.9166667
,15,49.05,-8.5287338,78.9166667,-1.8529632,78.9166667
,16,49.05,-8.1287338,78.9166667,-1.5514247,78.9166667
,17,49.05,-7.8571953,77.9166667,-1.2729632,77.9166667
,18,49.05,-7.5087338,78.9166667,-0.9829632,78.9166667
,19,49.05,-7.1971953,77.9166667,-0.7114247,77.9166667
,20,49.05,-6.9271953,76.9166667,-0.4214247,76.9166667
,21,49.05,-6.5756569,75.9166667,-0.1514247,75.9166667
30.0698359,1,49.0666667,-13.5300199,90.9166667,-6.3497015,90.9166667
30.1963967,2,49.0666667,-13.3384762,89.9166667,-5.9777785,89.9166667
30.4449475,3,49.0666667,-12.763028,88.9166667,-5.5958554,88.9166667
30.9419889,4,49.0666667,-12.6356399,88.9166667,-5.2458554,88.9166667
31.2579244,5,49.0666667,-12.2580021,87.9166667,-4.8858554,87.9166667
31.6345137,6,49.0666667,-11.8604786,86.9166667,-4.5358554,86.9166667
32.0537044,7,49.0666667,-11.4146374,86.9166667,-4.1958554,86.9166667
32.5083368,8,49.0666667,-10.9693114,85.9166667,-3.8539323,85.9166667
32.6676609,9,49.0666667,-10.8506632,84.9166667,-3.5239323,84.9166667
33.1278707,10,49.0666667,-10.7257905,84.9166667,-3.2120092,84.9166667
,11,49.0666667,-9.7548399,83.9166667,-3.0439323,83.9166667
,12,49.0666667,-9.4548399,82.9166667,-2.7439323,82.9166667
,13,49.0666667,-9.1529168,80.9166667,-2.4320092,80.9166667
,14,49.0666667,-8.8329168,79.9166667,-2.1520092,79.9166667
,15,49.0666667,-8.5329168,78.9166667,-1.8520092,78.9166667
,16,49.0666667,-8.1329168,78.9166667,-1.5500862,78.9166667
,17,49.0666667,-7.8609937,77.9166667,-1.2720092,77.9166667
,18,49.0666667,-7.5129168,78.9166667,-0.9820092,78.9166667
,19,49.0666667,-7.2009937,77.9166667,-0.7100862,77.9166667
,20,49.0666667,-6.9309937,76.9166667,-0.4200862,76.9166667
,21,49.0666667,-6.5790706,75.9166667,-0.1500862,75.9166667
30.0789119,1,49.0833333,-13.5362075,90.9166667,-6.3502861,90.9166667
30.2055776,2,49.0833333,-13.3436732,89.9166667,-5.9779784,89.9166667
30.4546435,3,49.0833333,-12.7695991,88.9166667,-5.5956707,88.9166667
30.9515786,4,49.0833333,-12.6410875,88.9166667,-5.2456707,88.9166667
31.2674185,5,49.0833333,-12.2631446,87.9166667,-4.8856707,87.9166667
31.6439453,6,49.0833333,-11.8651344,86.9166667,-4.5356707,86.9166667
32.0637592,7,49.0833333,-11.4203387,86.9166667,-4.1956707,86.9166667
32.5179103,8,49.0833333,-10.974814,85.9166667,-3.853363,85.9166667
32.6776349,9,49.0833333,-10.8551906,84.9166667,-3.523363,84.9166667
33.1383603,10,49.0833333,-10.7311991,84.9166667,-3.2110553,84.9166667
,11,49.0833333,-9.7594075,83.9166667,-3.043363,83.9166667
,12,49.0833333,-9.4594075,82.9166667,-2.743363,82.9166667
,13,49.0833333,-9.1570998,80.9166667,-2.4310553,80.9166667
,14,49.0833333,-8.8370998,79.9166667,-2.1510553,79.9166667
,15,49.0833333,-8.5370998,78.9166667,-1.8510553,78.9166667
,16,49.0833333,-8.1370998,78.9166667,-1.5487476,78.9166667
,17,49.0833333,-7.8647921,77.9166667,-1.2710553,77.9166667
,18,49.0833333,-7.5170998,78.9166667,-0.9810553,78.9166667
,19,49.0833333,-7.2047921,77.9166667,-0.7087476,77.9166667
,20,49.0833333,-6.9347921,76.9166667,-0.4187476,76.9166667
,21,49.0833333,-6.5824844,75.9166667,-0.1487476,75.9166667
30.0879879,1,49.1,-13.5423951,90.9166667,-6.3508706,90.9166667
30.2147586,2,49.1,-13.3488702,89.9166667,-5.9781783,89.9166667
30.4643394,3,49.1,-12.7761702,88.9166667,-5.595486,88.9166667
30.9611684,4,49.1,-12.6465351,88.9166667,-5.245486,88.9166667
31.2769126,5,49.1,-12.2682872,87.9166667,-4.885486,87.9166667
31.6533769,6,49.1,-11.8697901,86.9166667,-4.535486,86.9166667
32.0738139,7,49.1,-11.4260399,86.9166667,-4.195486,86.9166667
32.5274837,8,49.1,-10.9803166,85.9166667,-3.8527937,85.9166667
32.6876089,9,49.1,-10.8597181,84.9166667,-3.5227937,84.9166667
33.1488499,10,49.1,-10.7366076,84.9166667,-3.2101014,84.9166667
,11,49.1,-9.7639751,83.9166667,-3.0427937,83.9166667
,12,49.1,-9.4639751,82.9166667,-2.7427937,82.9166667
,13,49.1,-9.1612828,80.9166667,-2.4301014,80.9166667
,14,49.1,-8.8412828,79.9166667,-2.1501014,79.9166667
,15,49.1,-8.5412828,78.9166667,-1.8501014,78.9166667
